index,time,score,reple,1st_week,2st_week,3st_week
1,2017.08.17,2,"방금 시사회로 보았는데 너무 기대이하.모성애를 가장한 답답한 엄마..행방을 알수없는 할머니, 거울의 개연성, 끝까지 장산범은 안나옴, 굳이 필요없는 범죄은폐장면, 장산범의 민담을 전혀 못살림. 소재는 좋은데 너무 못살린 아까운 영화. 알바조심!!  ",1,0,0
2,2017.08.17,7,이 점수는 신린아의 연기와 소리를 내세운 영화적인 면만으로 점수를 준것입니다..  ,1,0,0
3,2017.08.17,9,새로운 형식의 공포영화.. 이런 신선한 시도의 영화가 우리나라 영화를 발전시킨다!  ,1,0,0
4,2017.08.17,6,"공포감에 끌려다닌 관객을 전혀 다독여주지 않는다.결말과 불필요한 장면을 떠올려보면 이토록 불친절할 수가 없다는 생각을 하게 된다.배우들의 연기와 기괴한 사운드로 몰입시킨후 ""그냥 그랬다고~""로 끝나는.  ",1,0,0
5,2017.08.17,10,역대급 공포영화인듯. 무서워서 눈감으면 소리때문에 더무서움..ㅎㅎㅎ집에 어떻게 가나 싶을정도임. 공포영화 좋아하는 친구도  손에 꼽을정도로 무섭다함. 애나멜보다 훨씬 무서움  ,1,0,0
6,2017.08.17,1,"주제도 모호하고, 스토리의 개연성도 부실하며, 등장인물들의 행동도 이상하고, 형사는 등장하는지도 모르겠네요. 모성애를 가장한 행동들도 영화를 답답하게 합니다. 제가 제일 재미없게 본 영화가 디워인데 디워도 권선징악이란 주제가 있는데 이건 뭘 표현한거죠  ",1,0,0
7,2017.08.17,5,보고 암걸리는 줄...  ,1,0,0
8,2017.08.17,9,"배우 캐스팅도 괜찮고, 나름 기대한작품이라서 괜찮고 스릴있음  ",1,0,0
9,2017.08.17,10,여름엔 공포영화죠ㅎㅎ 무섭게 보고왔습니다ㅎㅎ  ,1,0,0
10,2017.08.17,10,시사회로보고 소름돋ㅇㅏ디질뻔... 아직도 귀에 소리들리는거같음  ,1,0,0
11,2017.08.17,1,진짜답답하고 뭘표현하려는지 대체1도모르겟다. 이영화보기전에평점보고보세욤. 비추추추추×100  ,1,0,0
12,2017.08.17,6,시사회보고왔는데 곡성이후 1년만에 정신적으로 너무 안좋은것 같습니다.  ,1,0,0
13,2017.08.17,3,평식이형이 4점 준 이유가있으니 한번만믿어봐라  ,1,0,0
14,2017.08.17,9,시각적보다 청각적으로 더 고통스러운 영화. 간만에 잘 나온 한국공포영화  ,1,0,0
15,2017.08.17,9,시사회로 봤어요지루할 틈도 없었고 연기도 너무 잘 하셔서재밌었어요 생각보다 더 좋았어요  ,1,0,0
16,2017.08.17,10,오랜만에 볼만한 한국 영화가 나왔네요  ,1,0,0
17,2017.08.17,10,아니..태어나서 처음으로 온몸으로 영화를봤네요. 눈가리고 귀막고 소리지르고 발작일으키고.. 끝나고나오면 체력 급저하;;  ,1,0,0
18,2017.08.17,10,네... 역시나 팝콘은...  ,1,0,0
19,2017.08.17,10,나도 모르게 푹빠져서 본 영화ㅠㅠㅠ무서운데 눈을 뗼 수 없었다..친구들한테도 강력추천함ㅠㅠ  ,1,0,0
20,2017.08.17,10,굿굿 여름에는 공포죠 추천합니다ㅡ  ,1,0,0
21,2017.08.17,1,"스토리도 없고 내용도 없고 여주는 답답한걸 떠나 상식적으로 이해도 안되고, 고구마 먹는기분 공포영화를 본다는 느낌보단 고구마 먹으면서 누워서 티비보다가 엄마 샤우팅 소리에 깜짝 깜짝 놀라는거 같음 무서운것 보다 놀라는게 맞음... 시간이 아깝다 내휴가  ",1,0,0
22,2017.08.17,10,졸라재밋던데?ㅋㅋㅋ  ,1,0,0
23,2017.08.17,10,염정아 연기 진짜 잘하네요  ,1,0,0
24,2017.08.17,7,솔직히 애매했던 영화 재밌어도 다시 보고싶은 영화 아닌 영화가 있듯이 재미없는건 아닌데 추천까지는 하고 싶지 않음  ,1,0,0
25,2017.08.17,10,기대.. 그 이상 !!!  ,1,0,0
26,2017.08.17,10,평식이 잡종 고양이한테 함 끌려가볼텨?  ,1,0,0
27,2017.08.17,10,더운데 땀흘리면서 봤네 (좋은의미)  ,1,0,0
28,2017.08.17,10,이영화가재밋다면 공감을 눌러주세요~  ,1,0,0
29,2017.08.17,10,봤으요.. 괜찮았습니다.. 소리가 깜딱 놀라게 하는것은 그다지 아좋아하는데 귀신범의 퀄리티도 곡성좀비같고.. 아뭏든 괜찮았어요..  ,1,0,0
30,2017.08.17,10,영화보다 돌아가신 할머니가 나에게 손짓하는걸보았다...  ,1,0,0
31,2017.08.17,10,돈주고 봐도 아깝지 않을듯 하다.  ,1,0,0
32,2017.08.17,10,완전! 잼나게 본영화!!! 왠만한 해외 공포영화 발라버림!!  ,1,0,0
33,2017.08.17,10,진짜무서웠던 영화;;  ,1,0,0
34,2017.08.17,10,웹툰 존잼이었는데 영화도졸기대중ㅋㅋ  ,1,0,0
35,2017.08.17,10,간만에 괜찮은 공포영화라고 생각합니다.  ,1,0,0
36,2017.08.17,10,대박 존무..지렸다ㅜㅜㅜ  ,1,0,0
37,2017.08.17,10,색다른 느낌의 미스터리 스릴러. 만족스러움  ,1,0,0
38,2017.08.17,10,팝콘좀 먹자!!!!ㅠ  ,1,0,0
39,2017.08.17,8,댓글알바 말고 진짜 보고 온 사람 없나요 ㅠㅠ 댓글알바 민망할 정도로 티나네..ㅠㅠㅠㅠ  ,1,0,0
40,2017.08.17,1,평점좀 내려가야 할듯한뎅...  ,1,0,0
41,2017.08.17,10,에나벨의 양쪽 귓방맹이를 후드려 패고도 남을 공포...  ,1,0,0
42,2017.08.17,10,관람객아 아침부터 새벽공기 마시면서 이거 보는거 개 강추 집가서 강아지 안고 자야지.. 그리고 역시 믿고보는 염정아 배우님 공포영화에 끝판왕ㅋㅋㅋ  ,1,0,0
43,2017.08.17,10,무섭따 무서버 시간잘감  ,1,0,0
44,2017.08.17,10,관람객오랜만에 공포 장르 본건데 이렇게 무섭기 있음..???ㅠㅠ올해까지만 불키고 자야지^^  ,1,0,0
45,2017.08.17,10,일단 아침 조조7시30분영화관람후 생에 첫 리뷰남깁니다. 먼가 찝찝한 결말이 남긴하지만 확실히 한국 공포영화 배스트 3안에 들만함. 사운드 공포가 더무서운듯... 추천합니다 .ㅎ  ,1,0,0
46,2017.08.17,10,관람객와씨..혼자봤다가 거의 울뻔했구요^^^^ 나름 공포영화 잘본다고 생각했는데 나는 세상개쫄보였움ㅎㅎㅎ  ,1,0,0
47,2017.08.17,10,예고편은 그럴싸한데~ 평도 나쁘지 않네  ,1,0,0
48,2017.08.17,10,숨바꼭질이랑은 또 다른 느낌. 간만에 숨죽이며봤다  ,1,0,0
49,2017.08.17,10,관람객허정감독님 숨바꼭질 보고 기대되서 조조로 보고왔어요! ㅠㅠ 아침부터 새벽공기 마시면서 장산범 보니까 존잼 핵잼 염정아 배우님 연기는 말할 것도 없고 ㅠㅠ 강추합니다!  ,1,0,0
50,2017.08.17,10,최고  대박날 것 같은 예감 ...  ,1,0,0
51,2017.08.17,10,관람객안무서울 줄 알고 패기롭게 맥모닝 들고봤다가 아직도 해시브라운 목에 걸려있음... 소름돋아 진짜ㅠㅠㅠ  ,1,0,0
52,2017.08.17,10,애나벨보다 100배는 무섭네요.. 귀막고 봄 신선한 충격  ,1,0,0
53,2017.08.17,10,관람객염정아 연기 진짜 미쳤다ㅠㅠㅠ 안그래도 무서운데 더 무섭게 만드는 소름돋는 연기력ㅠㅠ ㅠ  ,1,0,0
54,2017.08.17,1,이거 댓글들 전부 알바임  절대보지마세요 걍  떡밥 열라 많이 뿌리고 떡밥회수도 안하고 김치없이 고구마 백만개 처멕이고 사이다 달라했더니 없다고해서 물이라도 달라고했더니 물도 없다고 목막혀 죽는느낌 입니다 궁금하다고 보지마세요 환불각임 이거  ,1,0,0
55,2017.08.17,10,관람객목소리 따라내는데 심장이 벌컹!!!!역시 허정감독님 쵝오!!!!  ,1,0,0
56,2017.08.17,10,염정아역시 살아 있음~무서워서 귀막고 눈감고 봤는데 식은땀 줄줄ㅠㅠ  ,1,0,0
57,2017.08.17,10,관람객재밌음 무섭진 않음ㅎㅎ  ,1,0,0
58,2017.08.17,10,무섭고 슬프다. ㅠㅠ 진짜 무슬무슬하네.  ,1,0,0
59,2017.08.17,10,관람객와 진짜 이건 내가 본 영화 중에서 역대급으로 존잼이다  ,1,0,0
60,2017.08.17,10,관람객이건 눈만 가린다고 괜찮은 영화가 아니여... 바쁘게 손과 귀를 커버해야한다.  ,1,0,0
61,2017.08.17,10,사운드에 몇번이나 놀랐는지 모르겠습니다. 제대로 된 스릴러가 나온듯 싶군요  ,1,0,0
62,2017.08.17,6,하 .. 소리에 예민한 사람 비추작은 소리도 예민한 편인데 보는 내내 머리아픔거짓 하나 없이 놀랄장면 딱 하나 딱 정말 딱 하나  ,1,0,0
63,2017.08.17,10,와.. 숨바꼭질은 아무것도 아니네요..  ,1,0,0
64,2017.08.17,1,고구마1000개먹은거같은느낌욕이절로나오네요평점알바들 댓글 믿지마세요 그냥 짜증만나요  ,1,0,0
65,2017.08.17,10,기대안하고봤는데 재미있네요 ㅎㅎ  ,1,0,0
66,2017.08.17,10,관람객숨바꼭질 재밌게봤는데 이것도 아 졸무섭...소오름 진짜 눈막고 귀막아도 소름이 ..  ,1,0,0
67,2017.08.17,3,남편 말 좀 제발 믿어주라.  ,1,0,0
68,2017.08.17,10,보면서 많이 놀라고 재밌었음ㅋㅋㅋ 무서운거 잘보는데도 놀랄 정도면 말 다했지 뭐  ,1,0,0
69,2017.08.17,10,애나벨도 무섭게 봤는데 이건 진짜 덜덜 떨면서 봤다..  ,1,0,0
70,2017.08.17,10,져아영ㅎㅎ너무져아우재밌엉  ,1,0,0
71,2017.08.17,10,개봉전 부터 재밌다고 말만 들었는데.. 이거.. 실화냐..?  ,1,0,0
