index,time,score,reple,1st_week,2st_week,3st_week
1,2014.12.17,1,언론과  기사가 피터잭슨 명감독의 명작 호빗의 라이벌로 표현하는게 수치다!  ,1,0,0
2,2014.12.17,10,영화내내 가족에게 잘해야겠다 생각이 들었다.우리 아버지는 날위해 모든것을바치신사람이다. 효도해야겠다.  ,1,0,0
3,2014.12.17,1,캐릭터가 너무 많다....  ,1,0,0
4,2014.12.17,10,시사회때 봤는데 단연코 수작임. 2014년 대표영화로 손꼽을만함.근데 방금개봉했는데 오유강간충들이 좌표찍고1점테러하자하는중 ㅋㅋㅋ 명색이 평론가라고 5~6점주는거보소ㅋㅋㅋ평론가들 전부 한겨레 씨네21이라그런가 ㅋㅋㅋ꼭봐라 진짜 아버지사랑합니다.  ,1,0,0
5,2014.12.17,1,호빗 흥행 대박 !!~!!!  ,1,0,0
6,2014.12.17,10,정말 좋은영화입니다 꼭보세요  ,1,0,0
7,2014.12.17,9,감정 개입  하지말고.. 영화보면서 아버지 생각에 먹먹합니다 ..  ,1,0,0
8,2014.12.17,10,내일을 조국과 민족을 위하여.  ,1,0,0
9,2014.12.17,10,3대가 보면 더 좋을 영화 !  ,1,0,0
10,2014.12.17,10,떳다 황정민!  이거다!  ,1,0,0
11,2014.12.17,10,이분들이 있었기에 지금의 내가있고 대한민국이 있는거지. 존경스럽다  ,1,0,0
12,2014.12.17,10,감동적일듯 볼만할거같은데  ,1,0,0
13,2014.12.17,10,시사회 보고 나서 또 보고싶은 영화입니다. 그리고 부모님게 잘 해드리세요  ,1,0,0
14,2014.12.17,1,정부의 치적을 홍보하는 홍보 영화입니다.돈과 시간이 아깝네요.  ,1,0,0
15,2014.12.17,10,그냥다드루와근데난못봐  ,1,0,0
16,2014.12.17,10,내 일생 조국을위하여..  ,1,0,0
17,2014.12.17,1,네 다음 통구이.. 네 다음 통구이  ,1,0,0
18,2014.12.17,7,그냥저냥 흥행 요소들을 잘 조합한 선물세트 느낌  ,1,0,0
19,2014.12.17,10,가족 조국 민족...번영의 뿌리...행동하는 지도자  ,1,0,0
20,2014.12.17,10,예고편으로 영화한편다본느낌  ,1,0,0
21,2014.12.17,10,그냥 웃고 우는 전형적인 한국식 드라마  ,1,0,0
22,2014.12.17,10,지금의 시대를 만든 부모님세대의 일대기최고다  ,1,0,0
23,2014.12.17,10,난이런내용 눈물나더라 ㅠ  ,1,0,0
24,2014.12.17,10,"추운날 한파를 뚫고 시사회로 보고왔으나 돈을 주어도 아깝지 않은 소중한 시간을 선물 받았다.처음은 전쟁의 아픔 , 중간은 부모님의 자식들을 위한 희생적인 삶을 생각하게 되었고 마지막은 나 자신에 대해 돌아보게 되었다!강.력.추.천  ",1,0,0
25,2014.12.17,10,평론가새끠들 평점꼬라지보소...  ,1,0,0
26,2014.12.17,10,내  아버지가  그랬던 것  처럼 ...  ,1,0,0
27,2014.12.17,10,"광부, 간호원 여러분! 나라가 부족하고 내가 부족해 여러분이 여기 있습니다 가족과 고향 생각에 괴로움이 많은 줄 알지만 우리가 무엇 때문에 이 먼 이국에 왔는가를 생각해봅시다 비록 우리 생전엔 이룩하지 못하더라도 후손들에겐 잘 사는 나라를 물려줍시다  ",1,0,0
28,2014.12.17,10,요근래 영화중 쵝오!!  ,1,0,0
29,2014.12.17,10,황정민 영화다!!!!  ,1,0,0
30,2014.12.17,10,부모님하고 같이 갈란다  ,1,0,0
31,2014.12.17,10,한겨레 황진미평론가의 평론에 소름이 돋는다...산업화 세대의 정치적 반동성이라니...우덜식민주주의가 뭔지확실히 알겟다... 황진미평론가 전라도출신맞지??  ,1,0,0
32,2014.12.17,10,"대한민국을 낳아주신 분들 정말, 다시한번 감사의 말씀 전하고 싶습니다. 평생 잊지않고 열심히 살겠습니다 . 당신들께 부끄럽지 않기위해..  ",1,0,0
33,2014.12.17,10,시사회 다녀왔었는데주말에 정말 한평생 고생하신 할머니 모시고보고올겁니다.  ,1,0,0
34,2014.12.17,10,아프고 슬프다그리고 그들에게 감사하고 또 감사한다  ,1,0,0
35,2014.12.17,10,이미 보기도전에 10점만점이다  ,1,0,0
36,2014.12.17,10,작은 일상의 묘사로 과거를 사실적으로 실감나게 묘사한...가슴에 와 닫는 영화로 감동적인 영화 ... 국민 모든이에게 감동을 주는 영화로 특히 젊은 사람들에게 과거를 알게해주는 명작이다  ,1,0,0
37,2014.12.17,10,조국과 자식을 위해 헌신해오신 모든 아버지들께 바칩니다.  ,1,0,0
38,2014.12.17,10,"한참이나 시간이 지난 후 생각해보니, 우리의 아버지, 어머니가 얼마나 위대한 사람들이었던가. 그들이 일궈낸 세상에서 난 얼마나 큰 빚을 지고 삶을 살아가고 있는가.  ",1,0,0
39,2014.12.17,10,BEST이분들이 있었기에 지금의 내가있고 대한민국이 있는거지. 존경스럽다  ,1,0,0
40,2014.12.17,10,할머니 할아버지 감사합니다ㅠ  ,1,0,0
41,2014.12.17,10,천만 갈듯 정말 웃기기도 하고 감동적입니다  ,1,0,0
42,2014.12.17,10,내 일생 조국과 민족을 위하여  ,1,0,0
43,2014.12.17,10,어찌하여 그당시 산업화에 이끄신 대한민국 산업1세대 분들을 욕할수 있는겁니까 현재의 대한민국은 그때당시 정권과 한마음으로 고생하신 그분들의 공이 있기에 존재하는 겁니다  ,1,0,0
44,2014.12.17,1,운제균 감독은 별 생각 없이 영화를 만든다더니정말인 듯  ,1,0,0
45,2014.12.17,1,보지마세요 겁나 개노잼입니다. 호빗이 더 재밌음  ,1,0,0
46,2014.12.17,10,정말 우리나라의 어버이들을 보여주는영화  ,1,0,0
47,2014.12.17,10,"그동안의 좌파적영화를 보다가 화나서 해외영화만봤는데드디어 중립적영화나와서 봤음 잼당.,.  ",1,0,0
48,2014.12.17,10,정말 살면서 이렇게 가슴 뭉클한 영화는 처음 입니다 사랑합니다 부모님 .  ,1,0,0
49,2014.12.17,10,예고편부터 감동이었습니다.  ,1,0,0
50,2014.12.17,9,이영화는 우리나라 국민중 30%는 굉장히 싫어하는 영화입니다  ,1,0,0
51,2014.12.17,10,2시간안에 우리의 인생이 모든것이 담겨있다.  ,1,0,0
52,2014.12.17,10,재밌다 !!!! 이정도면  ,1,0,0
53,2014.12.17,10,시사회로 보고왔는데 정말 재밌네요~ 그냥 추천합니다 가족들이랑 한번 더보려고요~ 근데 1점준분들은 알바 너무 티나네요ㅋㅋ 요즘도 평점깎는 알바가있구나  ,1,0,0
54,2014.12.17,10,정말 훈훈한 영화입니다. 가족들과 함께보길 권합니다.^^  ,1,0,0
55,2014.12.17,10,지금잘사는게 자기때문인줄아는 무능한사람들에게 진정한노력과희생이 무엇인지 일깨워주는 영화가되길  ,1,0,0
56,2014.12.17,10,아버지 생각에 눈물 날뻔한 영화  ,1,0,0
57,2014.12.17,10,이 시대에 두 영화가 나왔다. 변호인이라는 거짓 쓰레기 선동 영화와 아버지의 희생과 진실을 말하는 국제시장  ,1,0,0
58,2014.12.17,10,"민주주의, 인권 운운하면서 정작 다음 세대의 자식들을 위해 노력했던 아버지들을 정치적으로 끌어들이고 싶냐..그냥 영화자체를 봐라.. 기자 평론가는 좀 라이센스 제도라도 도입하자  ",1,0,0
59,2014.12.17,10,시사회때 봤는데 단연코 수작임. 2014년 대표영화로 손꼽을만함.근데 방금개봉했는데 오유강간충들이 좌표찍고1점테러하자하는중 ㅋㅋㅋ 명색이 평론가라고 5~6점주는거보소ㅋㅋㅋ평론가들 전부 한겨레 씨네21이라그런가 ㅋㅋㅋ꼭봐라 진짜 아버지사랑합니다  ,1,0,0
60,2014.12.17,10,"국제시장 정말 감동적이었습니다. 이 영화 조롱하는 사람들이 일부 있다고 들었는데, 그 분들은 영화 보신 건가요? 영화를 보고도 그런 말을 할 수 있을지 궁금하네요.  ",1,0,0
61,2014.12.17,10,"바로 우리 부모님, 그리고 할아버지 할머니의 영화감사드립니다.  ",1,0,0
62,2014.12.17,10,아빠가 보고싶다. 오늘 전화라도 드려야겠다...  ,1,0,0
63,2014.12.17,10,장인들의 손으로 ‘재현’한 한국 현대사의 주요 사건들  ,1,0,0
64,2014.12.17,10,"진보, 보수 등 정치논리로 영화를 보지맙시다! 그냥 그 힘겨운 시대에 던져졌으나 끈질기게 고군분투하며 결국은 가족을 지켜냈던 한 아버지의 삶에 관한 이야기입니다. 물질적 풍요 속의 빈부양극화, 디플레의 공포 등 고통의 시대를 살아가는 우리에게 용기를.  ",1,0,0
65,2014.12.17,10,잊고 있었던 깨달음을 준 영화... 국제시장. 부모님이랑 아들 데리고 가서 한번 더 볼 예정. 오늘 개봉이라는데 많은 분들 보시길-  ,1,0,0
66,2014.12.17,10,선배님들 고맙습니다...  ,1,0,0
67,2014.12.17,10,좌우막론하고 우리아버지세대들이 대단했다는건 사실이다  ,1,0,0
