index,time,score,reple,1st_week,2st_week,3st_week
1,2014.11.27,10,"아직은 한참 멀었지만 이 두사람의 연애사, 가족사가 언젠가 내게 찾아올 일들임을 깨달았을때 또 다른 먹먹함이 찾아왔다.  ",1,0,0
2,2014.11.27,10,태어나서 처음으로 부모님께 내 돈으로 사드릴 영화였다  ,1,0,0
3,2014.11.27,10,혹시나 했는데 박평식은 역시나!!  ,1,0,0
4,2014.11.27,9,하염없이 눈물 흘리는 영화하염없이 슬픈영화또 봐도 하염없이 울 것 같은 영화..가슴이 찡하다.. 님아 그 강을 건너지 마오...  ,1,0,0
5,2014.11.27,10,상업영화도 좋지만 이런영화가 많은 살영관에서 많은 사람들이 봤으면 좋겠네요. 보는 내내 눈물을 멈출수가 없었어요.  ,1,0,0
6,2014.11.27,10,황혼의 아름다운 여정 보기드문 노부부의 사랑  ,1,0,0
7,2014.11.27,10,"영화가 끝나도 감정의 여운이 짙어서, 엔딩 크레딧이 다 올라갈 때까지 자리에서 일어날 수 없는 영화. 다들 같은 심정이셨는지 상영 내내 저들끼리 떠들던 커플 제외하고 다들 자리에 남아 계셨음  ",1,0,0
8,2014.11.27,10,영화 보고 운건 처음이다..아직도 여운이 남는 영화..  ,1,0,0
9,2014.11.27,9,관람객분명 행복한 장면인데도 눈물이 주르주륵 흘렀다  ,1,0,0
10,2014.11.27,10,"이별을준비하는 할머니, . .보는내내 웃음이 떠나지않다가눈물도 같이 흐른다  ",1,0,0
11,2014.11.27,10,오묘한감정이 그냥섞인다 감동 그자체  ,1,0,0
12,2014.11.27,10,이렇게 늙고 싶고 사랑하고 싶다.  ,1,0,0
13,2014.11.27,10,조조로보러가서 오열나도 저런 사랑하고싶다 라는 생각을 들게하는 영화!이런영화가더많이나왔음합니다  ,1,0,0
14,2014.11.27,10,꼭 보러 가고 싶어요~~  ,1,0,0
15,2014.11.27,10,오늘 개봉이네요 꼭 보러 가고 싶네요!  ,1,0,0
16,2014.11.27,9,워낭소리를 능가하는 감동... 빙그레 웃다가 절로 울게 하는 이야기. 애기 내복 때문에 너무 울었다.  ,1,0,0
17,2014.11.27,10,"보는내내 감동, 그리고 먹먹함  ",1,0,0
18,2014.11.27,10,관람객감동의 눈물 수도꼭지열림  ,1,0,0
19,2014.11.27,10,눙무리난다..진자 슬프다  ,1,0,0
20,2014.11.27,10,오랫만에 본 영화였는데 보길 잘했다는 생각이듭니다가슴이 따뜻하고 뭉클해지네요뭔가 벅차오르기도하고 가슴속에서 따뜻한눈물이 흐릅니다  ,1,0,0
21,2014.11.27,10,희노애락이 부족함 없이 담겨있는 영화  ,1,0,0
