index,time,score,reple,1st_week,2st_week,3st_week
1,2016.11.23,10,"시사회로 보고 왔는데 빵빵 터지게 웃으면서 보다가 마지막엔 펑펑 울었네요 정말 재밌고 또 감동적이었습니다ㅠㅠ 조정석, 도경수 두 배우의 케미가 정말 좋았어요!  ",1,0,0
2,2016.11.23,10,코믹과 감동 다 있는 영화. 무엇보다 배우들 연기가 너무 좋았습니다 엔딩OST까지 완벽했어요.  ,1,0,0
3,2016.11.23,10,"운좋게 쇼케이스에 당첨되어 영화를 보고 왔습니다~ 조정석,도경수 두분의 연기 합이 잘 맞는것같아요 정말 형제같았던 ㅋㅋ 추천합니다! 재미있어요  ",1,0,0
4,2016.11.23,10,시사회에서 보고왔는데 가볍고 편하게 즐기기 좋아요 배우들 연기는 다 좋구요 개봉하면 가족과 다시 볼 예정입니다 추천  ,1,0,0
5,2016.11.23,10,조정석 도경수 연기 너무 잘해!!  ,1,0,0
6,2016.11.23,10,간만에 가벼운 마음으로 맘놓고 웃으면서 영화 봄  ,1,0,0
7,2016.11.23,10,코믹과 감동이 있었던 영화 가볍게 웃고 울면서 잘 봤네요  ,1,0,0
8,2016.11.23,10,재밌게 잘봤어요 배우들 연기가 좋네요  ,1,0,0
9,2016.11.23,10,101010101010  ,1,0,0
10,2016.11.23,10,요즘같은때 맘편히 웃으면서 볼수있는 그런 영화 2시간동안 확실히 웃겨주고 감동적이기도해서 여운이 깊고 마음이 따뜻해졌다 가족이랑 보면 더 좋을거같아서 가족이랑 또 보러갈 생각이다  ,1,0,0
11,2016.11.23,10,"이런 영화일수록 배우들의 연기에 따라 감정의 울림이 관객에게 와닿는 정도가 달라질 수 밖에 없는데 웃긴 장면에서는 조정석의 재치가,슬픈 장면에서는 도경수의 눈빛과 목소리가 빛났다.무엇보다 웃길때는 확실히 웃기고 울릴때는 확실히 울리는 명쾌함이 좋았다.  ",1,0,0
12,2016.11.23,10,연기략도 다 좋고 케미가 돋보이네요! 유쾌합니다~  ,1,0,0
13,2016.11.23,10,자신도 모르는새 눈물이 또르르 흐르는 효과를 느끼실수있습니다 ㅋㅋ 한번 울게되니 마지막까지 복받쳐 울게되더라고여 덕분에 오늘 눈이 퉁퉁부었네요 ㅋ 근데 웃기긴 진짜 웃겨요 ㅋㅋ 다들 어쩜 연기를 그렇게 잘하는지 ㅋㅋ 영화가 유쾌해요 ㅋㅋ  ,1,0,0
