index,time,score,reple,1st_week,2st_week,3st_week
1,2016.02.17,9,시대의 아픔을 간직한 사나이 '윤동주'  ,1,0,0
2,2016.02.17,10,죽는날 까지 우러러 한 점 부끄럼없길 잎새에 이는 바람에도 나는 괴로워했다  ,1,0,0
3,2016.02.17,10,어두운 시대 속 그의 시 만큼은 빛났네요  ,1,0,0
4,2016.02.17,10,시사회에서 보고 왔는데 우리 대한민국 사람들이라면 다 봤음 좋겟단 생각을 하게된 영화였습니다. 영화관이 적다고 하지만 찾아볼 만한 가치 있는 영화입니다.  ,1,0,0
5,2016.02.17,9,왜 흑백일까 했는데 꼭 흑백이어야만 했다. 어둠 속에서 밝게 빛나던 한 점의 촛불처럼 동주 또한 어두웠던 시대에 밝게 빛나던 한 점의 촛불이었다.  ,1,0,0
6,2016.02.17,10,"사랑해요 윤동주, 그리고 연기한 강하늘  ",1,0,0
7,2016.02.17,10,감사하다. 그들이 있었기에 지금 현재 우리가 존재하니까  ,1,0,0
8,2016.02.17,10,정말 멋스러운 영화..  ,1,0,0
9,2016.02.17,10,돈이 되는 영화가 아니면 모두 다 이렇게 푸대접인가. 강동원 춤추는걸 꼭 천만이 봐야겠어? 나라가 없으면 영화도 없는거야.  ,1,0,0
10,2016.02.17,10,제발 상영관쫌 늘려주세요 좋은건 나눠야지  ,1,0,0
11,2016.02.17,10,학교에서 윤동주의 시를 배울때 투덜대던 모습이 한없이 부끄러워집니다.  ,1,0,0
12,2016.02.17,10,마지막 대사 한줄이 눈물을 터뜨린 영화.  ,1,0,0
13,2016.02.17,10,똑같은 학생으로서 나는 무얼하고 있는가 조금만 이라도  본받고 싶다  ,1,0,0
14,2016.02.17,10,"상영시간때문에속상함ㅠㅠ5억저예산으로만든훌륭한영화꼭보세요.상영시간관좀늘려주세요ㅠ흥행안되면,배우들상이라도받았음좋겠다  ",1,0,0
15,2016.02.17,10,시사회로 보고왔는데 한편의 문학작품을 읽은 느낌이었다  ,1,0,0
16,2016.02.17,10,정말 잘봤습니다 감사합니다  ,1,0,0
17,2016.02.17,10,"실존인물을 영화로 그려내는 것이 쉬운 일은 아니지만, 덤덤하고 담백하게 그 시절 빛나던 청년들의 삶을 그려낸...윤동주의 시가 가진 마력을 다시 한 번 음미하게 하는 영화...  ",1,0,0
18,2016.02.17,10,정말 훌륭할 영화다. 하늘을 우러러 정말 부끄러움이 많은 시대. 우리의 적인 일본은 잘못된 역사관으로 후세를 교육하는 이때 우리는 진실을 알고 진실로 무장해야 한다. 암흑의 시대를 살다간 청년들의 이야기. 우리에겐 이런 것이 필요하다. 2천만돌파 콜!  ,1,0,0
19,2016.02.17,10,1945년 2월 16일 (어제)  그렇게 왜놈들의 잔인무도한 폭력에 가야 했다. 이제 오늘71년 후 그분이 다시 온다.  ,1,0,0
20,2016.02.17,10,이런 영화들이 많이 나왔으면 좋겠습니다.정말 훌륭합니다  ,1,0,0
21,2016.02.17,10,"여러 영화관에서 볼 수 있길 , 강동원도 좋지만 이런 영화도 중요한걸 왜 모를까  ",1,0,0
22,2016.02.17,10,와.. 이거 대박...ㄷㄷ  ,1,0,0
23,2016.02.17,10,한국 영화중에서 이렇게 잘 만든건 처음 봤다.  ,1,0,0
24,2016.02.17,10,"대한민국 역사상 가장 추억되고, 가장 아름다운 영화! 16일 전야제 상영으로 봤는데, 정말 감동 깊었습니다. 친일파들이 득실한 이 세상에 잊지말아야할 우리나라의 역사와 동주... 그 사람의 이야기.  ",1,0,0
25,2016.02.17,10,새벽에 후기 올린 사람들은 도대체 어디서 영화를보고 올리는거냐??  ,1,0,0
26,2016.02.17,10,흥행이 되는 자극성을 버리고 담백하고도 단단하게 인물에 대한 존경심을 담았다. 이런 영화가 잘 되어야한다!!!  ,1,0,0
27,2016.02.17,10,상영관좀 확보 되었으면..  ,1,0,0
28,2016.02.17,10,오늘 밤에도 별이 바람에 스치운다  ,1,0,0
29,2016.02.17,10,빛나던 미완의 청춘 우리가 기억해야 할 이름..기억하겠습니다  ,1,0,0
30,2016.02.17,10,박정민이랑 송몽규랑 너무 닮아서 소름돋았다는ㅋㅋ  ,1,0,0
31,2016.02.17,10,간만에 매우 감명깊게 본 영화다 흑백영화도 전혀 어색함이 없었음 강하늘 연기 인상깊었고 송몽규 역 한 박정민 진짜 대박임  ,1,0,0
32,2016.02.17,10,"일제시대에 시를 쓴다는것, 몽규와 비교되는 동주의 열등감과 부끄러움, 영화를 보면서 정말 많이 울었다. 동주의 고뇌와 부끄러움 그것을 깊이 이해했다. 나는 윤동주가 정말 자랑스럽다. -깊은감동을받은 국어교육과 학생-  ",1,0,0
33,2016.02.17,10,동주가 끝나갈 때 쯤 나온 서시를 듣고 난 후 눈물을 흘렸습니다. 정말 대단한 영화라고 생각합니다. 꼭 보시길 바래요오늘밤에도 별이 바람에 스치운다.  ,1,0,0
34,2016.02.17,10,감사하고 또 고맙습니다  ,1,0,0
