index,time,score,reple,1st_week,2st_week,3st_week
1,2015.09.16,10,오랜만에 잘빠진 웰메이드 사극한편. 그리고 믿고보는 송강호 유아인!  ,1,0,0
2,2015.09.16,10,웰 메이드. 1년에 한편 뽑는 한국 대표 아카데미 진출작이라는 이유만으로 이 영화는 봐야 할 이유가 충분하다.  ,1,0,0
3,2015.09.16,10,사도세자는 조선의 역사상 가장 비참한 세자이며 왕이 될 수 있었던 사람이다.  ,1,0,0
4,2015.09.16,10,송강호 유아인에 이준익감독까지 완벽한 밀도높은 영화  ,1,0,0
5,2015.09.16,10,여운이 진하게 남는 사극. 두 대배우의 연기를 따라가다보면 어느새 눈물이 주르륵 ㅠㅠ 온몸 다 바쳐 연기해주신 유아인 송강호 배우께 감사드려요.  ,1,0,0
6,2015.09.16,10,10점 주고 보러 갑니다^^  ,1,0,0
7,2015.09.16,10,시사회로 봤는데 또 보고싶다 오랜 여운이 남는 영화  ,1,0,0
8,2015.09.16,10,?베테랑으로 좋은 연기보여준 유아인씨 사도에서도 눈물이 펑펑나고 연기 너무 좋았어요...송강호님.이준익감독님..다른배우분들 연기 너무 좋았습니다.또 보고 싶어요  ,1,0,0
9,2015.09.16,10,친구랑 보고왔는데 정말재미있었습니다!시간가는줄 모르고봤던영화!진정한 21세기 세계최고의명작천만가자 아자!  ,1,0,0
10,2015.09.16,10,송강호 유아인 만으로도 볼만한가치가 있는영화.  ,1,0,0
11,2015.09.16,10,연기 보러 갑니다. 배우진 너무 좋아오.  ,1,0,0
12,2015.09.16,10,사도 대박 ~송강호 유아인 이준익 이라니~  ,1,0,0
13,2015.09.16,10,창경궁 문정전에서 그대의 넋을 생각하고 슬퍼해봅니다.  ,1,0,0
14,2015.09.16,10,"송강호 유아인은 물론 조연,아역할 것없이 연기 구멍이 없는 영화  ",1,0,0
15,2015.09.16,10,노론들에 의해 적혀진 역사에 사도세자의 누명이 벗겨 질수 있을지...  ,1,0,0
16,2015.09.16,10,현대의 부모자식과의 관계와 250년전 이야기이지만 지금살고있는 우리와도 별반다르지않다  이영화는 보고나서의 여운이 더크다 아버지와아들을 연기한 송강호 유아인!  그리고 그어떤 기교도 섞이지않은 무채색같은 이영화 정말 감동적이다  두번세번봐야할듯  ,1,0,0
17,2015.09.16,10,와 정말 이건 유아인을 위한 유아인에 의한 유아인의 영화에요 진짜 반했어요 손수건도 반드시 준비하시길ㅠㅠ  ,1,0,0
18,2015.09.16,10,유아인은 베태랑에서 한번놀라고 사도에서 한번 더 놀랐다  ,1,0,0
19,2015.09.16,10,아니..기대도되고 보고싶고 캐스팅짱짱하고다알겠는데 12시땡치자마자 달려와서너무심하게 빨아재끼는 알바들은 대체뭐냐..?서로추천누르느라 바쁘겠네들내글도 올라가자마자 반대가 치솟겠지?으휴 좋은영화는 애쓰지않아도 입소문을타는법이다  ,1,0,0
20,2015.09.16,8,베스트 평점들 12시 땡 넘자마자 눈물이 나오네 여운이 진하게 남네 이런 평점이 어떻게 나옴? 진심 보긴 한거임?  ,1,0,0
21,2015.09.16,7,배우들의연기는정말최고였지만지루함은어쩔수가없었다  ,1,0,0
22,2015.09.16,1,이적단체 범민련에  기부한  범민련의 딸 문모양 나와 안봄 근묵자흑 (近墨者黑) 근자주적 (近朱者赤)  북괴에서 국군포로 후손이 이런일을 할수나 있냐 니가 양심이 있어  어딜 나와 어딜 나오냐고 범민련에 기부하는주제  ,1,0,0
23,2015.09.16,10,송강호+유아인= 무조건 보는거  ,1,0,0
24,2015.09.16,10,아버지란 언제나 자식에게 있어 큰 산과 같은 존재가 되어야 한다... 언제나 장엄한 나무가 되어야 한다... 그렇기에 다가가기 힘든 존재... 바로 아버지... 왜 그리 가혹하였나요...  ,1,0,0
25,2015.09.16,10,박평식 평점은 믿고 본다.  ,1,0,0
26,2015.09.16,1,"정말  역겹고 보기 싫고 지루한 뻔한 영화, 억지로 흥행성적 올리려해서야되나  ",1,0,0
27,2015.09.16,10,캬.. 이거 개안네.ㅎㅎㅎ  ,1,0,0
28,2015.09.16,1,12시땡하자마자 올라온글들 전부 10점..  ,1,0,0
29,2015.09.16,10,이건 진리다.. 형 진지하다...  ,1,0,0
30,2015.09.16,10,시간 가는줄 모르고봤고 여운이장난아니다  ,1,0,0
31,2015.09.16,10,오랜만에 정통사극이 나왔네요.  ,1,0,0
32,2015.09.16,10,보러가야징~!!!!  ,1,0,0
33,2015.09.16,10,송강호 연기 어쩔껴...아 진짜 최민식하고 이 둘은 정말..  ,1,0,0
34,2015.09.16,1,내용 매력없음ㅠㅠ 유명배우 만 등장시킨영화  ,1,0,0
35,2015.09.16,10,"역사적 사실과  훌륭한 예술의 조화...,,아주  좋아요  ",1,0,0
36,2015.09.16,10,끝까지 지루하다는 평은 뭐냐 ㅋㅋㅋㅋ 네이버 한줄평점 말고 실시간 트위터 평은 다 장난아닌데? 시작하자마자 그렇게 깎아내리고싶냐? ㅋㅋㅋㅋ 송강호유아인 연기 지린다  ,1,0,0
37,2015.09.16,9,유아인.. 이정도일줄 꿈에도몰랐다  ,1,0,0
38,2015.09.16,10,송강호 유아인에 이준익감독이면 믿고보는거지  ,1,0,0
39,2015.09.16,1,어떻게 영화 시작도 전에 00:00분부터 모두 10점 알바생이..  ,1,0,0
40,2015.09.16,10,베태랑 보고오신분들 추천  ,1,0,0
41,2015.09.16,10,진짜 진한 여운이 있다 강추  ,1,0,0
42,2015.09.16,10,"몰입도 높은 영화, 시간 가는 줄 모르고 빠져들었다  ",1,0,0
43,2015.09.16,10,왜 개봉하자마자 십점 이냐고? 알바가 아니라 시사회본 사람들이다. 이거 취향탈수 있겠지만 심장이있고 생각이란게 있으면 지루하다라고 할수없는 웰메이드 영화다시사회본지 일주일이 지나가지만 벌써 다시 영화관에 돈주고 찾아가서 보고싶다.  ,1,0,0
44,2015.09.16,10,올해최고의영화입니다  ,1,0,0
45,2015.09.16,10,잼있는영화였으면 좋겠습니다  ,1,0,0
46,2015.09.16,10,오랜만에 진짜 잔인하지만 대규모의 전쟁영화인듯  ,1,0,0
47,2015.09.16,10,베테랑보다 깊은 영화.... 여운이 남는다.  ,1,0,0
48,2015.09.16,10,재미있어요 다음에 친구들하고 한번 더봐야겠네요  ,1,0,0
49,2015.09.16,10,밀이 필요 없습니다. 유아인 송강호 대박  ,1,0,0
50,2015.09.16,10,"역시 송강호, 유아인 연기 진짜 잘 한다. 감동의 눈물 아침부터 흘림 ㅠ.ㅠ  ",1,0,0
51,2015.09.16,10,"송강호, 유아인 연기ㅠ 무슨 말이 필요할까ㅠㅠ 둘의 내면연기에 박수를!!  ",1,0,0
52,2015.09.16,10,"정말 보고싶은 영화.. 송강호, 유아인 연기 ㅎㄷㄷ  ",1,0,0
53,2015.09.16,10,시간 가는 줄 모르고 봤네요~~  믿고 보세요~  ,1,0,0
54,2015.09.16,10,대박입니다...말이필요없음  ,1,0,0
55,2015.09.16,10,예고편만 봐도 10점 드리고싶네요~ 바로 보러갑니다! 아자!! 기대기대  ,1,0,0
56,2015.09.16,10,꼭봐라대박이다이건그냥재미로보는영화가아니다  ,1,0,0
57,2015.09.16,10,송강호가 노무현의 변호인을 연기했다는 이유로 일베충과 꾹정원에서 평정 테러 시도를 방어하고자 10점 줍니다. 찰진 연출과 출중한 배우들로 하여금 믿고 관람합니다.  ,1,0,0
58,2015.09.16,1,알바들때문에 균형맟추려고 1점  ,1,0,0
59,2015.09.16,10,요새 보기드믄 무채색같은 사극...화면이 정말 깨끗했다.. 유아인 송강호 배우들의 멋진 연기가 백지안에 녹아서 ..한폭의 그림같았던... 영화가 너무 좋더군요.   많이 울고 느끼고  오래갈 그런 영화입니다.  ,1,0,0
60,2015.09.16,10,정말 몰입해서 봤던 영화예요 헐 대박  ,1,0,0
61,2015.09.16,10,방금 보고 왔습니다~아....여운이 ㅠ.ㅠ 올해 최고의 영화가 아닌가싶네요  ,1,0,0
62,2015.09.16,10,시사회로 봤었는데요..주말에 한번 더 보러 갑니다..  ,1,0,0
63,2015.09.16,10,송강호 유아인 정말몰입도최고구 친구랑보는것도괜찮지만 부모님이랑 보는걸추천합니다.  ,1,0,0
64,2015.09.16,10,송강호-유아인 연기 케미도 너무 좋구!! 영화는 말할 것도 없이 재미있었음... 진짜 추석에 부모님이랑 보러가기 딱 좋은 영화!!  ,1,0,0
65,2015.09.16,2,무슨 16일 00시부터 평점이 존나 등록이 되냐 ㅋㅋ아니 알바를 쓰려면 시간대를 좀 나눠서 하던가.... 그래놓고 공감은 존니 올라감. 이래서 알바 푸는 영화에 반감이 생김  ,1,0,0
66,2015.09.16,10,오랜만에 영화다운 영화를 본 거 같다!  ,1,0,0
67,2015.09.16,10,관람객유아인과 송강호의 명품연기 gooood명대사 명연기 최근본 영화중 단연 쵝오!!  ,1,0,0
68,2015.09.16,10,관람객너무 보고싶어서 조조로 보고 나왔어요.. 아 최고 진짜 최고 ㅜㅜ 계속 몰입해서 봤어요. 연기야 원래 믿고 보는 배우들이지만 진짜 쩔어요 ㄷㄷㄷ 추석때 엄마아빠 모시고 또 볼거긔!  ,1,0,0
69,2015.09.16,7,모르겠다. 어렵다. 하지만 가족애는 충분히 느껴졌다.  ,1,0,0
70,2015.09.16,10,세상에 너무 마음이아프고 ..진짜... 여운이길게남을듯... 유아인 연기가 아주 소름이네요..  ,1,0,0
71,2015.09.16,9,배우분들 연기 감탄하면서 봤네요.그런데 포커스가 너무 많이 나가서;; 조금 아쉬웠어요 ㅎ  ,1,0,0
72,2015.09.16,10,12시 땡치고 바로 등록했다고 다 알바라는건 뭐지..ㅎㅎ 시사회로 보고왔는데 개봉후 평점 등록하려고 올린거지. 시사회때 진짜 재밋게 봤어요!! 유아인 베테랑보다 연기 더 잘하는것같고 송강호는 말할 필요도없음... 짱  ,1,0,0
73,2015.09.16,1,연기는 굳 근데 몰입감이 생길만한 스토리 전개가 아니라 지루  ,1,0,0
74,2015.09.16,6,사도세자는 무고한 100여명을 직접 살육한 조선왕조 전무후무한 싸이코패스였습니다.희대의 광인이라 일컬어지는 연산군과 광해조차 누군가를 직접 살육한적이 없는데 말입니다.  ,1,0,0
75,2015.09.16,10,말이필요없다 진심 최고  ,1,0,0
76,2015.09.16,10,진심 연기 ....소오름... 2015년 최고의 영화  ,1,0,0
77,2015.09.16,10,사도 천만 가자! 사도 대박!  ,1,0,0
78,2015.09.16,10,어느새 눈물이 났습니다할아버지와 아버지께 보여드리면 서로 느끼는게 깨달음이 있을 영화라고 생각이 드립니다..!좋은영화감사합니다♥?  ,1,0,0
79,2015.09.16,10,관람객배우들 연기 최고!!!! 먹먹해지는 영화였어요 추석때 가족끼리 보면 좋을듯!  ,1,0,0
80,2015.09.16,10,사도 짱짱 송강호 유아인 역시 명불허전입니다!  ,1,0,0
81,2015.09.16,10,박평식님이 6점주셨습니다 봐야합니다  ,1,0,0
82,2015.09.16,10,"저도 10점 드려욥장렬하게 시작해서 울리네욥정통 역사극입니다, 지금 막 보고 나왔습니다문근영이 소지섭 엄마라니 ㅋ소지섭은 짧은 분량임에도 인상적이네욥;)  ",1,0,0
83,2015.09.16,10,"왠만해선 평점 안남기는데,,정말 기대이상이네요 두사람의 비극적인 운명두배우의 엄청난 연기력,, 끝나기전에 눈물날뻔했어요 꼭 보세요! 강추  ",1,0,0
84,2015.09.16,10,유아인연기때문에 눈물콧물 다흘리고온 영화... 엔딩크레딧 올라가는데 아무도 못 일어났다는..  ,1,0,0
