index,time,score,reple,1st_week,2st_week,3st_week
1,2016.08.03,10,우리나라의 아픈 역사를 잊지 맙시다  ,1,0,0
2,2016.08.03,10,네티즌 평점이 하나도 없네???  예고편만 봐도 가슴아프네요.  ,1,0,0
3,2016.08.03,10,"꼭 봐야할 영화, 책보다 더한 감동이었다  ",1,0,0
4,2016.08.03,10,고종황제의 가족 비극에 눈물이 나왔습니다 허진호감독의 감수성있는 연출과 영상미가 돋보였습니다  ,1,0,0
5,2016.08.03,10,와 진짜 감동적인 영화입니다 추천해요!  ,1,0,0
6,2016.08.03,10,우리가 알지 못했던 덕헤옹주의 파란만장하고 기구했던 삶을 볼 수 있었습니다  ,1,0,0
7,2016.08.03,10,덕혜옹주 대박나자!!  ,1,0,0
8,2016.08.03,10,꼭 봐야하는 묵직한 영화  ,1,0,0
9,2016.08.03,10,허진호감독님 덕혜옹주 대중감성 저격손예진 연기 대박 최근개봉한 영화중 최고의영화로 이같은 영화가 많이 나왔으면 좋겠다 부산행도 좋지만 인천상륙 아쉽지만 덕혜옹주 정말 좋은 영화인건 분명한 사실입니다 500만 기본 잘만하면 천만은 갈거같아요파이팅!  ,1,0,0
10,2016.08.03,9,"너무 마음이 아픈 영화, 사실이 어찌됬건 덕혜가 조선을 그리워하고 나라를사랑했던 마음은 변하지 않는다  ",1,0,0
11,2016.08.03,10,방금 시사보고 나오는 길. 아직도 머리가 멍하다. 묵직하고 큰 산 같은 감동이 아직도 진정이 되지 않네. 얼마만에 이런 영화를 접한건지. 손예진은 작두를 탄거 같다. 꼭 보시길.  ,1,0,0
12,2016.08.03,1,솔직히 이건 아니지. 역사 왜곡이잖아  ,1,0,0
13,2016.08.03,1,비극적인건 인정 하지만.. 픽션으로 역사인물 미화 하지는 맙시다..  ,1,0,0
14,2016.08.03,10,방금 시사회로 보고 나왔습니다.... 가슴이 먹먹하도 눈물이 자연스럽게 흐르네요... 많은 사람들이 보고 역사의 아픔을 느꼈으면 합니다...  ,1,0,0
15,2016.08.03,9,억지스러운 영화가 아니라 더욱 좋았달까? 손예진 인생연기 펼침  ,1,0,0
16,2016.08.03,10,요즘 아이들은 알지 못하는 시대의 아픔을 영화로나마 보여줄 수 있어서 다행입니다  ,1,0,0
17,2016.08.03,8,"'명성황후'라는 드라마가 나라 팔아먹은 민비라는 인물을 조선의 국모라는 이미지로 말도안되게 포장해놨던것과 마찬가지로, 이 영화 역시 역사를 왜곡해놨다. 영화 자체만 놓고보면 그냥저냥 재밌게 볼수있다.  ",1,0,0
18,2016.08.03,9,뻔한 신파 억지눈물이 아닌 진심으로 다가오는 이야기  ,1,0,0
19,2016.08.03,10,"우리 할머니, 할아버지 세대가 실제 살았던 그 시절의 이야기이기 때문에 더 가슴아픈것 같아요  ",1,0,0
20,2016.08.03,10,영화보지도않고 까는것들은 혼나야됨  ,1,0,0
21,2016.08.03,8,국제시장도 엄청 슬펐는데 덕혜옹주는 더 슬픔 ㅜㅜ… 우리가 잊고 살고 있던 역사의 이야기들을 하나둘씩 알려주어서 감사합니다  ,1,0,0
22,2016.08.03,5,역사는 똑바로 알고 갑시다. 덕혜옹주의 삶은 영화랑 정반대 였습니다. 있지도 않는 가상픽션이죠. 또한 우리나라 왕족들은 친일파와 손잡고 백성들을 고통속에 몰아넣고 지들은 배불리 살았습니다.  ,1,0,0
23,2016.08.03,10,오늘 꼭 볼꺼임.. 예매완료  ,1,0,0
24,2016.08.03,9,"그 시대의 아픔, 그녀를 통해 다시금 기억하라.  ",1,0,0
25,2016.08.03,8,올 여름 시즌 개봉한 영화중에 가장 뜻깊은영화가 아닐까 싶습니다만..  ,1,0,0
26,2016.08.03,9,책보면서 영화로 나왔으면 좋겠다는 생각을 몇번 했는데 진짜 나왔네요  ,1,0,0
27,2016.08.03,10,"손예진, 박해일의 연기가 빛을 발한다  ",1,0,0
28,2016.08.03,10,이 영화  부모님들과 같이 보세요..좋은 영화입니다   이 여름 시원한 극장에서 보면 감동 재미 두배  ,1,0,0
29,2016.08.03,10,시사회 봤는데  이영화는 꼭 봐야 하는 영화인 것 같아요 ~  ,1,0,0
30,2016.08.03,10,시사회로 미리봤었는데 정말 좋은 영화입니다. 개봉전부터 논란이 많아 안쓰럽네요  ,1,0,0
31,2016.08.03,9,"배우들 연기 쩌는 영화 ㅋㅋ 손예진박해일은 물론이고 라미란, 정상훈 등등 조연들도 연기갑!  ",1,0,0
32,2016.08.03,1,제발 이런 미화하는 영화좀 만들지마라  ,1,0,0
33,2016.08.03,9,마지막 장면 까지 놓칠 수 없는 명작..  ,1,0,0
34,2016.08.03,10,이거이거..덕혜가 오열할때 진짜 슬품 ㅜㅜ..  ,1,0,0
35,2016.08.03,10,같이 보러간 친구도 울고 나도 울었다  ,1,0,0
36,2016.08.03,8,"이랗게 나라의 자존심을 지키려는자가 많았다. 하지만 지금의 후손은 자기이익과 자존심세우기만 급급하다. 과연 그들은 지금의 후손을 보면 무엇이라 말할까, 주먹이 깨져 피가 터져 흐르도록 땅을치며 탄식해도 부족할 따름이다.  ",1,0,0
37,2016.08.03,10,"2일 시사회에서 보고 왔습니다. 명불허전 손예진... 모든 것이 어우러져 조화롭습니다. 몇 번을 봐도 아깝지 않은, 정말 좋은 영화입니다  ",1,0,0
38,2016.08.03,9,소설안보고 봐도 충분히 이해할 수 있도 충분히 재미있다  ,1,0,0
39,2016.08.03,10,개봉전 미리봤습니다 배우님들의 연기 구멍이 없네요 먹먹하고 가슴아픈 영화인거 같습니다 손예진님 연기 감동입니다  ,1,0,0
40,2016.08.03,8,저번에 모녀시사회로 보고왔는데 엄마랑 나랑 흑흑 거리고봄..;; 엄마와나라를 잃은 덕헤에게 몰입이 되어서..  ,1,0,0
41,2016.08.03,10,복순이와 다시만날때 진짜 ..하  ,1,0,0
42,2016.08.03,10,자극적이지 않은 영화라 더 마음에 든다  ,1,0,0
43,2016.08.03,8,오늘 퇴근하고 보러가렵니다  ,1,0,0
44,2016.08.03,9,"영화 내용도 좋고, 영화 분위기도 참 좋음  ",1,0,0
45,2016.08.03,10,감동과 재미를 모두 느낄 수 있는 영화  ,1,0,0
46,2016.08.03,10,"광복절이 다가오는 요즘, 우리가 꼭 봐야할 영화가 아닐까?  ",1,0,0
47,2016.08.03,9,시사회로 봤었는데 드디어 개봉이네요.. 아.. 영화내용에서 입국 거부 당했을때 그 모습이 아직도 생각이나네요 ㅠ_ㅠ 이거 왤케 슬픈거야  ,1,0,0
48,2016.08.03,1,인간적으로 개봉한지20분됬는데 평점이이렇게넘치냐...알바인가  ,1,0,0
49,2016.08.03,10,역시 허진호감독!! 보는 내내 시선을 분산시키지 않는 영화!  ,1,0,0
50,2016.08.03,9,완전 잘봤어요. 하이팅!  ,1,0,0
51,2016.08.03,9,그시대의 가슴 아픔을 들려줘서더 참.. 마음아프고 눈물이 많이 났습니다.  ,1,0,0
52,2016.08.03,8,영화가 감동도있고 재미도있어서더 좋았네요.  ,1,0,0
53,2016.08.03,9,이내용이 실화로 만들어진 영화라니 ㅠ_ㅠ.. 말도안되 믿을수가없어 너무 슬프자나 ㅠ ㅜ 내일 친구랑 꼭 보러가기로 약속함 ㅜ  ,1,0,0
54,2016.08.03,9,개봉하기전부터 엄청 기대했던 작품이었는데 드디어 볼수 있다는 생각에 벌써 가슴이 두근두근..ㅎ  ,1,0,0
55,2016.08.03,10,일본 씨X 반성해라 양심도 없는 새끼들  ,1,0,0
56,2016.08.03,8,나도모르게 애국심이 막 솟으면서 일본에대한 분노가 아주 확!! 솟아올랐다 -_-  ,1,0,0
57,2016.08.03,9,내가 울고있는건 다 손예진연기 때문이양.. 연기를 왤케잘하는건데 ㅠ  ,1,0,0
58,2016.08.03,9,보다가 웃긴장면들도 있어서 웃다가 그러다가..!! 갑자기 눈물나게 하는 장면들도 있었음 ㅋ  ,1,0,0
59,2016.08.03,1,그냥추석특집 2부작드라마.억지신파 역사왜곡ㅜ에휴.  ,1,0,0
60,2016.08.03,9,중간중간에 웃음 포인트들이 있었지만 그래도 전체적인 분위기는 잔잔한 감동이있는 내용이였어요.  ,1,0,0
61,2016.08.03,9,손예진 감성연기는 인정  ,1,0,0
62,2016.08.03,1,정신질환에 지능도  낮은 저능아였었는데 이런 애들까지도 날조에  미화까지 하는것을것을 보면 조선넘들의 일본에 대한 열등감은 병적인 수준.  ,1,0,0
63,2016.08.03,10,영화가 재미가있든 없든 덕혜옹주의 삶을 볼수있다는 것만으로도 의미있는 시간이였음.  ,1,0,0
64,2016.08.03,10,관객들이랑 웃길때는 하하하하 웃고 슬플때는 다같이 훌쩍인 영화였음 ㅋㅋㅋ  ,1,0,0
65,2016.08.03,10,덕혜옹주의 이야기는 알고있지만 그래도 영화로다시보니 그삶과 아픔을 고스란히 다시 느낄수가있었다.  ,1,0,0
